Library_Name,rank_within_library,term_name,p_value,z_score,combined_score,overlapping_genes,adjusted_p_value,old_p_value,old_adjusted_p_value
Achilles_fitness_decrease,1,SKCO1-large intestine,1.771727308574336e-09,9.552471390309227,192.49482071260925,"['USP7', 'SSB', 'MYEF2', 'TOMM40', 'CSNK1A1', 'CPSF3', 'CUL3', 'SMC1A', 'GLS', 'DHX30', 'LSM7', 'CTNNB1', 'RBMX', 'BCL2L1']",3.1182400630908314e-07,0,0
Achilles_fitness_decrease,2,RKO-large intestine,3.396413042406819e-06,7.236182756079588,91.12373470267788,"['DHX30', 'SUPT16H', 'USP7', 'RBM25', 'BCLAF1', 'TOMM40', 'CPSF3', 'DLST', 'SMC1A', 'RBMX']",0.00023825658782668533,0,0
Achilles_fitness_decrease,3,LAMA84-haematopoietic and lymphoid tissue,4.061191837954864e-06,7.084250405917373,87.94412590856075,"['BCR', 'DHX30', 'SUPT16H', 'TOMM40', 'NAA10', 'CUL3', 'DLST', 'RBMX', 'GLS', 'BCL2L1']",0.00023825658782668533,0,0
Achilles_fitness_decrease,4,AGS-stomach,2.0290519852248987e-05,6.597850425436632,71.29212785000956,"['SUPT16H', 'LSM7', 'MYEF2', 'CUL1', 'DLST', 'CTNNB1', 'EIF3E', 'RBMX', 'BCL2L1']",0.0008927828734989554,0,0
Achilles_fitness_decrease,5,LK2-lung,6.008064366804227e-05,9.774097874443894,95.00249973157935,"['BCLAF1', 'TOMM40', 'NAA10', 'CTNNB1', 'SMC1A', 'RBMX']",0.001855581464011177,0,0
Achilles_fitness_decrease,6,SU8686-pancreas,6.325845900038103e-05,9.678714204128253,93.57653542087573,"['TOMM40', 'NAA10', 'LONP1', 'SMC1A', 'RBMX', 'BCL2L1']",0.001855581464011177,0,0
Achilles_fitness_decrease,7,JJN3-haematopoietic and lymphoid tissue,0.00017590555923389142,6.4908192090395485,56.1167883549317,"['BCR', 'DHX30', 'SUPT16H', 'USP9X', 'DLST', 'SMC1A', 'RBMX']",0.004366476340507106,0,0
Achilles_fitness_decrease,8,COV362-ovary,0.00019847619729577756,5.455909943714822,46.51076684224765,"['RANBP1', 'SUPT16H', 'NAA10', 'USP9X', 'CUL3', 'STAT3', 'LONP1', 'ELAVL1']",0.004366476340507106,0,0
Achilles_fitness_decrease,9,OVISE-ovary,0.0003627992754737099,6.908613445378151,54.72769256660559,"['BCLAF1', 'SSB', 'TOMM40', 'USP9X', 'DLST', 'BCL2L1']",0.006643986174148755,0,0
Achilles_fitness_decrease,10,HCC70-breast,0.0003774992144402701,5.692021496486151,44.86418369780935,"['DHX30', 'TOMM40', 'CUL3', 'FAM120A', 'DLST', 'SMC1A', 'RBMX']",0.006643986174148755,0,0
Achilles_fitness_decrease,11,MCF7-breast,0.0004341741369918905,5.555084745762712,43.007826443541155,"['DHX30', 'USP7', 'BCLAF1', 'TOMM40', 'CSNK1A1', 'KHSRP', 'NDUFB4']",0.006783447086648055,0,0
Achilles_fitness_decrease,12,F36P-haematopoietic and lymphoid tissue,0.00046250775590782193,6.586009238132339,50.572958805669266,"['RANBP1', 'SUPT16H', 'TOMM40', 'DLST', 'RBMX', 'BCL2L1']",0.006783447086648055,0,0
Achilles_fitness_increase,1,KP2-pancreas,4.141368385757406e-06,6.296052631578948,78.0363254737972,"['BCR', 'SUPT16H', 'LSM7', 'RBM25', 'SF3A1', 'TOMM40', 'TRRAP', 'LONP1', 'GGT1', 'SMC1A', 'ELAVL1']",0.0006916085204214867,0,0
Achilles_fitness_increase,2,SEM-haematopoietic and lymphoid tissue,1.807699558426842e-05,17.578014184397162,191.96721462569064,"['TOMM40', 'SSB', 'CUL3', 'ELAVL1', 'BCL2L1']",0.001509429131286413,0,0
Achilles_fitness_increase,3,YKG1-central nervous system,4.123141685644159e-05,10.498009730207873,105.99116111406387,"['BCR', 'DHX30', 'KHSRP', 'ACAA1', 'ELAVL1', 'BCL2L1']",0.002295215538341915,0,0
Achilles_fitness_increase,4,U343-central nervous system,0.00016864133096263306,5.594017094017094,48.59934593165884,"['BCR', 'BCLAF1', 'SF3A1', 'TOMM40', 'NAA10', 'LONP1', 'EIF3E', 'RBMX']",0.007040775567689931,0,0
Aging_Perturbations_from_GEO_up,1,Rat femur 6 weeks vs 26 weeks GDS509 aging:257,4.3161039766045535e-07,6.5130080049261085,95.4529683045735,"['FKBP11', 'RPN2', 'RPL23', 'NDUFB4', 'GDI2', 'GNAI3', 'SMC1A', 'SOD2', 'PSMA6', 'RPL36', 'PLIN2', 'DHCR7', 'RBMX']",0.00011437675538002066,0,0
Aging_Perturbations_from_GEO_up,2,Mouse skeletal muscle precursor 12 months vs 24 months GDS4892 aging:9,4.278042086780149e-06,5.692210444422834,70.36719151981355,"['RANBP1', 'PSMA6', 'RPL23', 'MVP', 'RPL36', 'VDAC3', 'VDAC2', 'PLIN2', 'EIF3E', 'COX6C', 'CCT7', 'EMD']",0.0005668405764983696,0,0
Aging_Perturbations_from_GEO_up,3,Rat liver 12 months vs 24 months GSE11097 aging:195,5.036431130777296e-05,5.214457188583622,51.603455892716376,"['CYP27A1', 'PKLR', 'RPL23', 'NDUFB4', 'FAM120A', 'STAT3', 'FN1', 'PLIN2', 'COX6C', 'ASS1']",0.004448847498853278,0,0
Aging_Perturbations_from_GEO_up,4,Mouse ovary 90 days vs 180 days GSE14937 aging:349,0.00010564871711607902,5.2766702586206895,48.30997916751959,"['PSMA6', 'RPL23', 'NDUFB4', 'LONP1', 'RPL36', 'VDAC2', 'EIF3E', 'CCT7', 'RPS13']",0.005674188027701334,0,0
Aging_Perturbations_from_GEO_up,5,Rat femur 12 weeks vs 32 weeks GDS509 aging:261,0.00010706015146606291,4.7405878066553315,43.339021263189764,"['HADHA', 'RPN2', 'RPL23', 'NDUFB4', 'IDH2', 'GDI2', 'RPL36', 'FN1', 'PLIN2', 'SOD2']",0.005674188027701334,0,0
Allen_Brain_Atlas_10x_scRNA_2021,1,Mouse 294 CA3 up,1.9758123535535423e-08,3.9768520292798835,70.54816636572778,"['PRKAA1', 'AK1', 'CUL1', 'NOLC1', 'LIN7C', 'ELAVL1', 'GSPT1', 'NFS1', 'ALKBH5', 'APMAP', 'CCT7', 'RPS13', 'USP7', 'SF3A1', 'SSB', 'MYEF2', 'CPSF3', 'SACM1L', 'UBE2G2', 'EPN2', 'HADHA', 'SNRNP40', 'TMX3', 'VDAC3', 'ACIN1', 'EIF3E', 'FARSA', 'BCL2L1']",4.998805254490462e-06,0,0
Allen_Brain_Atlas_10x_scRNA_2021,2,Mouse 282 CA1 up,7.89382168751577e-07,5.676551551551552,79.76698903979997,"['USP7', 'PRKAA1', 'SSB', 'MYEF2', 'ELAVL1', 'DDOST', 'BCR', 'SNRNP40', 'KHSRP', 'LONP1', 'VDAC3', 'ANKRD52', 'JUNB', 'RBMX']",9.985684434707449e-05,0,0
