unique_protein_id_A,symbol_id_A,species_A,unique_protein_id_B,symbol_id_B,species_B,cell_line,hour,study,interaction_type
P60228,EIF3E,homo sapien,P48634,PRRC2A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,P48634,PRRC2A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,P48634,PRRC2A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P67809,YBX1,homo sapien,Q13242,SRSF9,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P49327,FASN,homo sapien,P49327,FASN,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26599,PTBP1,homo sapien,P14866,HNRNPL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15424,SAFB,homo sapien,Q14151,SAFB2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P48634,PRRC2A,homo sapien,P60228,EIF3E,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P48634,PRRC2A,homo sapien,P09651,HNRNPA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P48634,PRRC2A,homo sapien,P52272,HNRNPM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61457,PCBD1,homo sapien,P61457,PCBD1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q01844,EWSR1,homo sapien,P49327,FASN,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,P61978,HNRNPK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61457,PCBD1,homo sapien,P51116,FXR2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,P43243,MATR3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15637,SF1,homo sapien,Q92841,DDX17,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26368,U2AF2,homo sapien,Q9UHX1,PUF60,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P07910,HNRNPC,homo sapien,P07910,HNRNPC,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15056,EIF4H,homo sapien,Q9H3H3,C11orf68,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00148,DDX39A,homo sapien,P82979,SARNP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P07910,HNRNPC,homo sapien,P51116,FXR2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UHX1,PUF60,homo sapien,Q9UHX1,PUF60,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51116,FXR2,homo sapien,P38159,RBMX,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,Q9BQ04,RBM4B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14011,CIRBP,homo sapien,P38159,RBMX,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P00966,ASS1,homo sapien,P00966,ASS1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q01844,EWSR1,homo sapien,Q8N684,CPSF7,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,P38159,RBMX,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26599,PTBP1,homo sapien,P26599,PTBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,Q96PU8,QKI,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q07955,SRSF1,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51116,FXR2,homo sapien,P51116,FXR2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15637,SF1,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P00352,ALDH1A1,homo sapien,P00352,ALDH1A1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q99613,EIF3C,homo sapien,O75821,EIF3G,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61457,PCBD1,homo sapien,P61457,PCBD1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P07910,HNRNPC,homo sapien,P07910,HNRNPC,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q96DI7,SNRNP40,homo sapien,O75643,SNRNP200,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UHX1,PUF60,homo sapien,P05455,SSB,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14152,EIF3A,homo sapien,P60228,EIF3E,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62140,PPP1CB,homo sapien,O14974,PPP1R12A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62633,CNBP,homo sapien,Q9NZI8,IGF2BP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P43686,PSMC4,homo sapien,Q99460,PSMD1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62633,CNBP,homo sapien,P07910,HNRNPC,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14152,EIF3A,homo sapien,O00303,EIF3F,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P60842,EIF4A1,homo sapien,Q14152,EIF3A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62633,CNBP,homo sapien,Q00577,PURA,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UHX1,PUF60,homo sapien,Q92945,KHSRP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UHX1,PUF60,homo sapien,Q9NZI8,IGF2BP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UHX1,PUF60,homo sapien,P07910,HNRNPC,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UHX1,PUF60,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q96JB5,CDK5RAP3,homo sapien,Q9Y3C8,UFC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62633,CNBP,homo sapien,Q08211,DHX9,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UHX1,PUF60,homo sapien,O60506,SYNCRIP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62633,CNBP,homo sapien,Q99729,HNRNPAB,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UHX1,PUF60,homo sapien,O00571,DDX3X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UHX1,PUF60,homo sapien,O00425,IGF2BP3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UHX1,PUF60,homo sapien,Q9Y6M1,IGF2BP2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62633,CNBP,homo sapien,O00425,IGF2BP3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UHX1,PUF60,homo sapien,P14866,HNRNPL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UHX1,PUF60,homo sapien,Q9HCE1,MOV10,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62633,CNBP,homo sapien,P38159,RBMX,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52948,NUP98,homo sapien,Q9H8S9,MOB1A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62633,CNBP,homo sapien,O43390,HNRNPR,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P56537,EIF6,homo sapien,P35637,FUS,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UHX1,PUF60,homo sapien,Q01844,EWSR1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UHX1,PUF60,homo sapien,P11940,PABPC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62140,PPP1CB,homo sapien,P57088,TMEM33,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UHX1,PUF60,homo sapien,Q13310,PABPC4,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62633,CNBP,homo sapien,Q9Y3U8,RPL36,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UHX1,PUF60,homo sapien,Q13283,G3BP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P60604,UBE2G2,homo sapien,Q9UDY8,MALT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62633,CNBP,homo sapien,Q9BUJ2,HNRNPUL1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62633,CNBP,homo sapien,O60506,SYNCRIP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UHX1,PUF60,homo sapien,P51991,HNRNPA3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62633,CNBP,homo sapien,P51991,HNRNPA3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q06609,RAD51,homo sapien,Q06609,RAD51,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P35222,CTNNB1,homo sapien,P24666,ACP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q06609,RAD51,homo sapien,Q06609,RAD51,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q06609,RAD51,homo sapien,Q06609,RAD51,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q969V3,NCLN,homo sapien,Q15155,NOMO1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92945,KHSRP,homo sapien,Q13868,EXOSC2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92804,TAF15,homo sapien,Q15424,SAFB,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15424,SAFB,homo sapien,Q92804,TAF15,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92804,TAF15,homo sapien,Q15424,SAFB,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q86V81,ALYREF,homo sapien,O00148,DDX39A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q86V81,ALYREF,homo sapien,Q13838,DDX39B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52701,MSH6,homo sapien,Q14683,SMC1A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P56537,EIF6,homo sapien,P63244,RACK1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P63244,RACK1,homo sapien,P56537,EIF6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P63244,RACK1,homo sapien,P56537,EIF6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P15311,EZR,homo sapien,Q09666,AHNAK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P19338,NCL,homo sapien,P31949,S100A11,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P19338,NCL,homo sapien,P31949,S100A11,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23921,RRM1,homo sapien,P31350,RRM2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92900,UPF1,homo sapien,Q13868,EXOSC2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14152,EIF3A,homo sapien,P55884,EIF3B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14152,EIF3A,homo sapien,P60228,EIF3E,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14152,EIF3A,homo sapien,O75821,EIF3G,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14152,EIF3A,homo sapien,Q99613,EIF3C,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14152,EIF3A,homo sapien,O00303,EIF3F,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P63244,RACK1,homo sapien,P42224,STAT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14787,TNPO2,homo sapien,Q9NQ94,A1CF,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92900,UPF1,homo sapien,P11940,PABPC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13263,TRIM28,homo sapien,Q13263,TRIM28,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13263,TRIM28,homo sapien,Q13263,TRIM28,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15424,SAFB,homo sapien,Q14151,SAFB2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y2X7,GIT1,homo sapien,Q05397,PTK2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P33991,MCM4,homo sapien,P33991,MCM4,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13242,SRSF9,homo sapien,P67809,YBX1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P24534,EEF1B2,homo sapien,P24534,EEF1B2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P19338,NCL,homo sapien,P62140,PPP1CB,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62140,PPP1CB,homo sapien,P19338,NCL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92979,EMG1,homo sapien,Q07666,KHDRBS1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P55060,CSE1L,homo sapien,P14866,HNRNPL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q96AE4,FUBP1,homo sapien,Q92879,CELF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31942,HNRNPH3,homo sapien,P50995,ANXA11,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31942,HNRNPH3,homo sapien,P62701,RPS4X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O43390,HNRNPR,homo sapien,P61254,RPL26,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P56537,EIF6,homo sapien,O76024,WFS1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y6Y0,IVNS1ABP,homo sapien,P08670,VIM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q8WVM8,SCFD1,homo sapien,P36957,DLST,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9NRL3,STRN4,homo sapien,Q13838,DDX39B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13045,FLII,homo sapien,P36957,DLST,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P56537,EIF6,homo sapien,Q02878,RPL6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P35268,RPL22,homo sapien,P55060,CSE1L,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P46783,RPS10,homo sapien,O00291,HIP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23246,SFPQ,homo sapien,P23246,SFPQ,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13501,SQSTM1,homo sapien,Q13501,SQSTM1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13263,TRIM28,homo sapien,P08670,VIM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P08670,VIM,homo sapien,P08670,VIM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UBS4,DNAJB11,homo sapien,Q8IWV7,UBR1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P29692,EEF1D,homo sapien,P29692,EEF1D,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P56537,EIF6,homo sapien,Q9Y2X7,GIT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P56537,EIF6,homo sapien,O00291,HIP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q8NC51,SERBP1,homo sapien,P08670,VIM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q06609,RAD51,homo sapien,P08670,VIM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q96AE4,FUBP1,homo sapien,P08670,VIM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q8NBJ4,GOLM1,homo sapien,P63244,RACK1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UHX1,PUF60,homo sapien,P08670,VIM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P40763,STAT3,homo sapien,P42224,STAT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13263,TRIM28,homo sapien,Q13263,TRIM28,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P48729,CSNK1A1,homo sapien,P09429,HMGB1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P42224,STAT1,homo sapien,P42224,STAT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60763,USO1,homo sapien,Q8WVM8,SCFD1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23246,SFPQ,homo sapien,P26599,PTBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09211,GSTP1,homo sapien,P09211,GSTP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q07955,SRSF1,homo sapien,Q07955,SRSF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P15311,EZR,homo sapien,P15311,EZR,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q07817,BCL2L1,homo sapien,P62136,PPP1CA,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q07817,BCL2L1,homo sapien,P62136,PPP1CA,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23921,RRM1,homo sapien,P23921,RRM1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23921,RRM1,homo sapien,P31350,RRM2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y2X7,GIT1,homo sapien,Q05397,PTK2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y2X7,GIT1,homo sapien,Q9Y2X7,GIT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y2X7,GIT1,homo sapien,Q9Y2X7,GIT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y2X7,GIT1,homo sapien,Q9Y2X7,GIT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P35659,DEK,homo sapien,Q01130,SRSF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62995,TRA2B,homo sapien,P38159,RBMX,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62995,TRA2B,homo sapien,P38159,RBMX,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31949,S100A11,homo sapien,P31949,S100A11,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60506,SYNCRIP,homo sapien,Q9NQ94,A1CF,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P42224,STAT1,homo sapien,P40763,STAT3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P15311,EZR,homo sapien,Q05397,PTK2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q06609,RAD51,homo sapien,Q06609,RAD51,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92945,KHSRP,homo sapien,P09651,HNRNPA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92945,KHSRP,homo sapien,P31943,HNRNPH1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14103,HNRNPD,homo sapien,Q15424,SAFB,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14103,HNRNPD,homo sapien,Q15424,SAFB,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,Q92499,DDX1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,Q92499,DDX1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,Q92499,DDX1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92499,DDX1,homo sapien,P61978,HNRNPK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15366,PCBP2,homo sapien,Q15366,PCBP2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15366,PCBP2,homo sapien,P26599,PTBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15366,PCBP2,homo sapien,P61978,HNRNPK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15366,PCBP2,homo sapien,P14866,HNRNPL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26599,PTBP1,homo sapien,Q15366,PCBP2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26599,PTBP1,homo sapien,P26599,PTBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26599,PTBP1,homo sapien,P61978,HNRNPK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26599,PTBP1,homo sapien,P14866,HNRNPL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,Q15366,PCBP2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,P26599,PTBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,P61978,HNRNPK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,P14866,HNRNPL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P14866,HNRNPL,homo sapien,Q15366,PCBP2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P14866,HNRNPL,homo sapien,P26599,PTBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P14866,HNRNPL,homo sapien,P61978,HNRNPK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P14866,HNRNPL,homo sapien,P14866,HNRNPL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15366,PCBP2,homo sapien,Q15366,PCBP2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15366,PCBP2,homo sapien,P26599,PTBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15366,PCBP2,homo sapien,P61978,HNRNPK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15366,PCBP2,homo sapien,P14866,HNRNPL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26599,PTBP1,homo sapien,Q15366,PCBP2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26599,PTBP1,homo sapien,P26599,PTBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26599,PTBP1,homo sapien,P61978,HNRNPK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26599,PTBP1,homo sapien,P14866,HNRNPL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,Q15366,PCBP2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,P26599,PTBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,P61978,HNRNPK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,P14866,HNRNPL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P14866,HNRNPL,homo sapien,Q15366,PCBP2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P14866,HNRNPL,homo sapien,P26599,PTBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P14866,HNRNPL,homo sapien,P61978,HNRNPK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P14866,HNRNPL,homo sapien,P14866,HNRNPL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,P09651,HNRNPA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P07910,HNRNPC,homo sapien,P07910,HNRNPC,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,P09651,HNRNPA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P07910,HNRNPC,homo sapien,P07910,HNRNPC,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P05455,SSB,homo sapien,P19338,NCL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P05455,SSB,homo sapien,P19338,NCL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q86V81,ALYREF,homo sapien,Q86V81,ALYREF,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9NQ94,A1CF,homo sapien,Q92945,KHSRP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
